DEPTH,BS,GR,DTCO,DTSM,MSFL,LLD,LLS,RHOB,SP,NPHI,DRHO
812.5968,8.5,91.8808,93.1381,175.3389,7.0523,11.6136,10.8195,2.4932,150,0.267,-0.0077
812.7492,8.5,78.7957,92.5371,171.1681,22.3655,16.0393,14.7116,2.5232,150.375,0.2482,0.0025
812.9016,8.5,70.9887,91.5265,169.2186,31.5403,20.9247,18.4508,2.5025,150.375,0.2407,0.0176
813.054,8.5,61.5701,90.491,168.2424,6.1627,22.4932,19.0928,2.3808,150.5,0.269,0.0142
813.2064,8.5,58.275,91.5073,165.7457,2.3634,18.9546,16.2821,2.3139,150.5,0.3014,0.0041
813.3588,8.5,55.9658,82.0261,159.0069,2.653,17.5699,15.6913,2.3435,150.5,0.2925,0.0065
813.5112,8.5,58.6958,82.665,154.1467,2.2029,15.8827,14.8064,2.4926,150.5,0.261,0.0092
813.6636,8.5,58.5593,79.0829,152.1438,9.6944,18.2302,17.603,2.6166,150.5625,0.2076,0.0131
813.816,8.5,56.3753,69.6516,138.946,72.7483,20.6106,20.6595,2.5339,150.5625,0.2155,0.0089
813.9684,8.5,54.0548,66.5233,133.7971,2.7215,16.0462,16.4022,2.067,150.625,0.2608,-0.0107
814.1208,8.5,49.3896,63.7348,125.0591,1.5099,14.5368,15.0365,1.9078,150.9375,0.3126,0.0021
814.2732,8.5,50.7546,59.2048,115.8599,1.1798,11.654,12.35,1.9147,150.875,0.3308,0.0418
814.4256,8.5,47.7516,56.1603,116.7446,2.6663,9.8305,10.5141,2.0875,150.8125,0.352,0.0844
814.578,8.5,50.6422,54.4232,104.7454,2.5719,8.027,8.594,1.9961,150.9375,0.3983,0.0597
814.7304,8.5,47.0854,57.9367,96.7404,0.5684,6.8771,7.3162,1.6954,151.125,0.4507,0.0129
814.8828,8.5,46.7631,61.4501,93.4386,0.2598,6.9662,7.315,1.5983,151.0625,0.4684,0.0047
815.0352,8.5,45.1251,64.9635,86.7999,0.3139,7.5279,7.8103,1.6675,151.0625,0.4373,-0.01
815.1876,8.5,48.4575,68.477,88.6188,3.2421,8.9908,9.1804,1.9891,150.9375,0.3909,-0.0094
815.34,8.5,49.0528,71.9904,88.138,4.5987,12.9611,13.0477,2.4259,150.6875,0.342,0.0207
815.4924,8.5,50.6812,75.5039,110.1193,39.4488,18.5298,18.6497,2.6722,150.1875,0.2835,0.0353
815.6448,8.5,52.6908,79.0173,117.0106,23.2909,25.3209,24.979,2.7202,149.75,0.2534,0.0081
815.7972,8.5,54.8748,82.5308,122.5042,152.1171,38,36.5707,2.7387,149.25,0.2384,0.0071
815.9496,8.5,56.3859,62.5706,118.7097,173.1322,70.8447,65.0237,2.7629,148.8125,0.241,0.009
816.102,8.5,55.6825,62.0749,123.9367,150.5758,164.9001,147.6006,2.7648,148.1875,0.2314,0.0047
816.2544,8.5,59.0951,60.0484,123.2071,1648.1967,203.4409,179.571,2.7872,148.125,0.2204,0.0125
816.4068,8.5,59.4174,57.9741,119.0741,941.2451,193.4383,170.5936,2.7906,147.875,0.2115,0.0122
816.5592,8.5,58.4721,56.3854,115.2299,1451.5989,126.1551,113.7704,2.7926,147.6875,0.209,0.0024
816.7116,8.5,56.6875,55.6903,111.5304,151.2826,105.1997,94.9258,2.7914,147.5625,0.2213,0.0019
816.864,8.5,54.8637,54.5157,106.1052,399.651,85.2675,78.6102,2.7853,147.375,0.2287,0.0106
817.0164,8.5,52.944,55.586,103.0061,738.5536,49.146,47.6145,2.7649,147.125,0.2536,0.0105
817.1688,8.5,53.6753,55.1807,99.0584,117.4182,40.9399,40.7258,2.7067,146.875,0.2652,0.0241
817.3212,8.5,53.9483,54.0413,95.8112,15.1573,39.2274,40.0711,2.6301,146.4375,0.2829,0.0265
817.4736,8.5,56.394,54.5175,94.9295,60.3113,32.5414,33.6882,2.583,146.1875,0.2857,0.0141
817.626,8.5,52.8647,54.5287,94.5671,18.506,31.1108,32.1852,2.6186,145.9375,0.2959,0.013
817.7784,8.5,51.2267,54.7342,95.9941,64.965,36.8298,38.8152,2.6935,145.875,0.2928,0.0192
817.9308,8.5,48.5081,55.6967,97.8122,41.3598,38.0442,40.5042,2.7254,145.5,0.2755,0.0048
818.0832,8.5,51.1797,56.0478,97.5119,47.5645,41.8552,44.704,2.7441,145.375,0.2505,-0.0005
818.2356,8.5,51.4437,55.9235,100.1467,60.9011,53.425,56.6822,2.7543,144.9375,0.2341,0.003
818.388,8.5,52.6808,56.9868,102.2058,78.0704,82.3886,86.4484,2.7626,144.5,0.2195,0.008
818.5404,8.5,51.0189,56.6023,102.6176,819.4811,108.0663,113.0221,2.777,144,0.2006,0.0137
818.6928,8.5,52.7925,56.182,102.5841,1288.6261,124.8773,127.6373,2.7884,143.5625,0.1906,0.0131
818.8452,8.5,53.8845,56.0972,103.482,211.0137,173.4896,173.9634,2.809,143.125,0.1815,0.015
818.9976,8.5,51.0418,55.7024,103.6375,169.3633,168.5773,167.8708,2.8109,142.75,0.1937,0.0099
819.15,8.5,50.5154,55.1826,102.7448,451.4839,154.0129,149.9947,2.8173,142.3125,0.1981,0.0054
819.3024,8.5,45.1849,54.1284,101.9099,93.3926,204.7823,194.8928,2.8104,142.1875,0.2036,-0.0036
819.4548,8.5,49.5529,53.8319,99.36,162.0476,226.3794,216.2466,2.8332,142.125,0.1908,0.0049
819.6072,8.5,48.8777,52.6003,97.434,208.0969,207.6452,199.8477,2.8445,141.8125,0.1738,0.0085
819.7596,8.5,51.6147,51.78,97.5337,50.3122,224.0722,220.0066,2.8488,141.375,0.1706,0.0167
